subject,content,answer,sentence,cat,maincat,subcat,a_perspective_1,a_perspective_2,a_perspective_3,s_perspective_1
what happens if you can't stop pooping?,,Take some imodium or eat a banana!,Take some imodium or eat a banana!,Other - Health,Health,Other - Health,,,,treatment
how can you protect your theeth.?,"i know cheese is supposed to be good for stopping tooth decay. are there any other things other than brushing your teeth all the time. something that i can eat that is nice but good for my teeth, maby to kill the bacteria that make them bad?","Great question.

Try chewing Xylitol gum or sucking on xylitol sweetened mints.

These are known to actually PREVENT cavities on teeth.

The sugar in xylitol keeps the bacteria that causes cavity from causing harm to your teeth.

I have no affiliation with this company, but my patients like their products:   www.sprydental.com",The sugar in xylitol keeps the bacteria that causes cavity from causing harm to your teeth.,Dental,Health,Dental,,,,information
can emergency pills have an effect on your fertility if taken only once?,"i took emergency pills a day after i had live sex something i didnt want and i had side effects like vomiting,weakness...will it also affect my fertility since it was the first time","hey there,
A large serge of hormones that are in the pill you have taken would cause the symptoms you've mentioned. However, since you've only taken it once I doubt that it would cause any fertility problems!","hey there,",Alternative Medicine,Health,Alternative Medicine,,,,information
Why do I sometimes get yawns that won't go away?,"It's like I can't get the yawn out,and it even makes me gag.Does anyone else get this?","if you need to yawn then you need oxygen
go for a walk",if you need to yawn then you need oxygen,First Aid,Health,General Health Care,,,,cause
does watering down juice change the nutritional properties if you still take in the full serving size?,"I know grapefruit juice has many health benefits, but I hate it.  If 8oz has a certain level of benefit and I add 8oz of water to it to help ""get it down"" will I still get the full benefit of the juice (keeping in mind I'd be drinking all 16oz of liquid at this point)",I think you'll still get all the nutritional benifits because your still consuming it all. It just will take longer and be a bigger volume. It;s just the same as drinking the juice then drinking water afterwards.,I think you'll still get all the nutritional benifits because your still consuming it all.,Diet & Fitness,Health,Diet & Fitness,,,,information
"What can you count as being clinical depression, rather than mild?",Just wondering ...,"Mild depression is like mild chicken. It doesn't burn or really taste like anything, but its still there. Clinical depression is like magma, hell-fire hot chicken. You know you shouldn't eat the chicken and yet you do. Like you cant help yourself. People with clinical depression often end up like US Presidents. Then they just want to wage war.
Hope I helped.",Like you cant help yourself.,Mental Health,Health,Mental Health,,,,information
how do cur plantar fasites?,,It depends on how long you have had it.  Physiotherapy can make a difference if you haven't had it for too long.  Orthotics and exercises are next followed by night splints along with everything else.,It depends on how long you have had it.,Men's Health,Health,Men's Health,information,,,information
i think i have pinkeye but there not pink or itchy there stuck together when i wake and yellow junk in them??,they dont hurt. they water what do you think it is?,I'm going to guess a stye.  Use warm compresses on the affected eye and wash your hands constantly.  Styes are very contagious.  Contact your eye doctor.  He/She may prescribe a special eye drop for this.,I'm going to guess a stye.,Allergies,Health,Diseases & Conditions,,,,cause
What is the recommended amount of salt  person should not exceed in a day?,"I am trying to control my portion size by eating things like healthy choice and lean cuisine.  but I am nervous about the sodium. How much should a person not exceed and be healthy?  Also, is there a type of salt (sea salt kosher salt) that we can intake without worry or at least not as much worry as regular table salt?","2000-2500 mg a day for salt is what's recommended.  

Kosher or sea salt will provide less sodium mostly because the crystals are bigger.

A good rule of thumb is to not add salt unless you're cooking from scratch.  Nearly all prepared food has more than enough sodium already.",A good rule of thumb is to not add salt unless you're cooking from scratch.,Diet & Fitness,Health,Diet & Fitness,,,,information
does the return of breast cancer mean you have to have a mastectomy?,,no get glyconutrients. read my page and testimonials.,read my page and testimonials.,Cancer,Health,Diseases & Conditions,treatment,suggestion,,suggestion
Why is it painful for some people to use the toilet? What medically is wrong with them?,,"He or She may have urinary tract infection or may have piles or anal fissure or infection
 in genitals.",He or She may have urinary tract infection or may have piles or anal fissure or infection,Other - Health,Health,Other - Health,,,,cause
Does anyone know what is worse for your health? Cholesterol or trans fat??,Butter has cholesterol and margarine has trans fat...which is worse??!!,"Hello..If I have to choose beween them I would say that at any rate the trans fats are worse and cause multiple damages on our health.They clog the artheries and that leads even to heart attack.The new studies are showing the there is a good cholesterol and bad cholesterol,and amazingly the scientist found that every one needs some cholesterol.Of course,killing amounts of it will cause too many health problems. Butter is with certainty a better choice than the margarine,which is found even cancerogenic..Good luck and eat healthy!!","Butter is with certainty a better choice than the margarine, which is found even cancerogenic..",Diet & Fitness,Health,Diet & Fitness,,,,information
I was hurt. and its very itchy. Is it serious?,"Ten years ago, I was hurt in my leg near the ankle by a 'lantana camara' thorn (a small one} till today that place is black and its always itchy. Is it something serious? and what should I do?",You should go to the doctor and fast cause it sounds pretty serious.,You should go to the doctor and fast cause it sounds pretty serious.,Skin Conditions,Health,Diseases & Conditions,,,,suggestion
Coughing and feeling neck pains afterwards????,"Can anyone give me advice about the reason why I have sharp neck pains (back of the neck) that last a few seconds, sometimes longer??? Not only that, sometimes I get dizzy and my head tightens up???? Now the dizziness and the tightness of the head hadnt really happened in a while but the neck pain does??????",have u received a jolt to your body? - perhaps within the last few weeks? - sounds a bit like whip-lash which i sustained during a minor car accident a few years ago - nothing serious but uncomfortable - hope it improves soon hunny ~x~,have u received a jolt to your body?,Allergies,Health,Diseases & Conditions,,,,information
What exactly is a UTI?,"I have this burning type sensation, almost like i have to pee, but I don't and I'm not sure exactly what it is.  My boss who is a chiropractor told me that my bladder was tipped which could result in that feeling so she tipped it back the way it should be and i still have the same feeling.  I'm not sure exactly what to do.","A urinary tract infection is an infection anywhere in the urinary tract...from the urethra to the bladder to the ureters.  The bladder is normally sterile, and if you for some reason get fecal matter in the area of your urethra, the e coli bacteria that's helpful in your intestine can wreak havoc on your urinary tract.  If you don't urinate often enough to flush bacteria out of the urethra, it's able to move up it to the bladder, where it starts to cause problems.  

No matter what you do, while you're on your meds and even afterwards, drink plenty of fluids (hence the recommended 8 glasses a day) so that you urinate regularly and often.  That will help to flush some of it out of your system and keep it from coming back.

Otherwise, go to the doc!","Otherwise, go to the doc!",Women's Health,Health,Women's Health,,,,suggestion
which is the disease if a woman have burning sensation when urinating and low back pain ?,,"definately sounds like a uti, specifically kidneys with the low back pain.","definately sounds like a uti, specifically kidneys with the low back pain.",Women's Health,Health,Women's Health,,,,cause
how doe the heart sotp pumping?,,by not using spell check,by not using spell check,Men's Health,Health,Men's Health,,,,information
How do i find the nearest hospital from certain point?  Thank you.?,,"If you haven't downloaded Google Earth try that.  It will take a little bit to set up depending on your internet connection speed.  

If its an emergency right now, then I am not sure.  Sorry",Sorry,First Aid,Health,General Health Care,,,,information
My wife has breast engorgment. what should i do have u ever had it. what helps it?,please help.,express her milk..i'm thinking she just had a baby right..if not..that's strange..but yeah..express her milk and try to feed 8-10 times a day...,but yeah..,Women's Health,Health,Women's Health,,,,information
what 2  use 4 acne  scars?,"lotions, home remedys.","Acne scar treatment
http://acne-scar-tips.blogspot.com/",http://acne-scar-tips.blogspot.com/,Skin Conditions,Health,Diseases & Conditions,,,,suggestion
what is the diffrnce between Aids and HIV?,,"AIDS is a disease caused by HIV - human imunodeficiency virus. So, AIDS is the disease and Hiv is its cause.","So, AIDS is the disease and Hiv is its cause.",Other - Health,Health,Other - Health,,,,information
this bullcrap acne has to be hererdity?,"i wash my face 2times a day take baths everyday doesnt matter i still break out, my bro- in law never takes baths washes his face once a week and never breaks out wtf is that all about!","Hate to say it, but its Hereditary! I am 37 and i have had acne since i was 14. I go to the dermatologist for meds. creams for my skin. I have to user them everyday. My skin is like teenagers oily and clogged no matter what i do i have to use the meds.I'm part Irish and it came from my dads side of the family . My mom never really had ad zit even. So dont blame yourself. Go and get a referral to a dermatologist for it. There is plenty of products that help con troll it. I have found that proactive does work pretty good. Good Luck!",I'm part Irish and it came from my dads side of the family .,Skin Conditions,Health,Diseases & Conditions,,,,experience
if some is experianceing hearing loss where can they find help ?,"if they do not have insurance or a regular health care provider , is there any other resources ?",I think you need to get a hearing aid at a doctor's office.,I think you need to get a hearing aid at a doctor's office.,First Aid,Health,General Health Care,,,,suggestion
my arm hurts?,"my arm as been hurting around the area of my elbow. i dont know why its hurt i couldnt have done anything to it. its been happening for a couple of weeks now. when i try to bend my arm i get a real sharp pain in my elbow, and i dont know why? i dont play sports and i didnt work out those weeks so i dont know what it could be.",an arm attack...,an arm attack...,Women's Health,Health,Women's Health,,,,cause
if you get a bridge? how many teeth can be replaced at one time?,is there a limit such as 3 or more?,It depends on the span and where in the mouth it is. Multiple teeth can be replaced but not more than a couple in a span especially if it is the molars missing.,Multiple teeth can be replaced but not more than a couple in a span especially if it is the molars missing.,Dental,Health,Dental,,,,information
Should I take this antibiotic or not?,"I was told to take Bactrim for a urinary infection twice a day for three days but I'm breastfeeding. The doctor said it was ok but the pharmacist didn't seem so sure. I guess this would be a good moment to start weening my daugther, she is 13mos. but it's going to be so hard on her if it's done so abruptly. Any advice?","u need to finish the bactrim or it will not get any better. i have had to take it. it is ur doctor...if he says that it is alright then it is alright. he wldnt prescibe u something that wld hurt u or ur baby. since ur baby needs to not be breastfed at 13 months i suggest pumping and get as much milk as u can and then get the pads so u wnt leak everywhere and then slowly start out with like 2 ounces of breastmilk and add reg milk to a bottle and like everytime u give ur child milk keep decreasing the amount of breast milk...good luck..oh yea and if ur worried about it, call ur doc tom...he will call u back....",if he says that it is alright then it is alright.,Women's Health,Health,Women's Health,,,,information
Does a woman who is on the pill ovulate like a woman who is not on the pill?,"If you have your period during the 7 days pause, is the occurance of the ovulation process just like any other normal woman who is not on the pill?","Yes. In fact, many people are placed on the pill to regulate ovulation. This is wny I originally took it. I went for months at a time and did not ovulate on my own without the pill.
As for the new method where you only have a period a few times a year, that might have a different affect.",I went for months at a time and did not ovulate on my own without the pill.,Women's Health,Health,Women's Health,,,,experience
Is it a bad idea to eat Oranges and Jello at night?,My cousin has been craving Oranges and Jello mostly in the night is it a good idea for her to eat them if she is on a 2000 diet?,"Well,Jello is probably a bad idea because it has alot of sugar and calories.But oranges are just a fat-free fruit,so eating oranges at night,or anytime of the day,is ok.","Well, Jello is probably a bad idea because it has alot of sugar and calories.",Diet & Fitness,Health,Diet & Fitness,,,,information
Really stuffy nose?,What are some things I could do to relieve a really really stuffy nose?,Blow it!,Blow it!,Other - General Health Care,Health,General Health Care,,,,treatment
"where can I find the following herbs & how do I take them (ie-pills, etc.):?",How much will this cost me? Know of a store or website where I can find all of the herbs listed above?,"MOST HERBS CAN BE FOUND IN HEALTH STORES, OR YOU CAN GO ONLINE AND ORDER THEM. GO TO GOOGLE.COM AND LOOK FOR HEALTH STORES IN YOUR AREA!",GO TO GOOGLE.,Alternative Medicine,Health,Alternative Medicine,,,,suggestion
Is puss that is coming out of a tonsil serious?,,"Pus that is coming out of any part of your body indicates infection.  Infection can be serious, but it is easily treated.  Antibiotics may address this very well, but you will need either a prescription or knowledge of what antibiotic is necessary.  If you learn which to use, you can buy many of them in your local aquarium store.  Really!","If you learn which to use, you can buy many of them in your local aquarium store.",First Aid,Health,General Health Care,,,,information
If you have a stain on the tongue and looks brown?,What do you think it could be a mole or std.,this is a common symptom of pregnancy. but i don't thing I've ever seen a mole or birthmark on a tongue. so id definitely go in no matter what!,so id definitely go in no matter what!,Dental,Health,Dental,,,,suggestion
what is mernlgia poresthetica?,,Meralgia paresthetica is a painful condition attributed to entrapment or injury to the lateral femoral cutaneous nerve at the site where the nerve leaves the pelvis.,Meralgia paresthetica is a painful condition attributed to entrapment or injury to the lateral femoral cutaneous nerve at the site where the nerve leaves the pelvis.,Diabetes,Health,Diseases & Conditions,,,,information
Legs go to sleep while standing?,"When I'm on my feet standing or walking, after about 20 minutes my legs go numb.  It feels like there is liquid fire in my veins and my lower back feels like it's going to snap. What's going on?",You might be 300lbs. and your legs can't support all the extra weight.,You might be 300lbs.,Pain & Pain Management,Health,General Health Care,,,,cause
What are some medications that may cause abortions or problems during a pregnancy?,,"there are to many to mention here. they could make a miscarage or worst, fetal damages. If your are pregnant ask your doctor or the pharmacist before taking any kind of medicine","they could make a miscarage or worst, fetal damages.",Alternative Medicine,Health,Alternative Medicine,,,,information
Did you know that girls who give head and swollow have 40% less chances of getting breast cancer?,,That's complete and utter nonsense.,That's complete and utter nonsense.,Women's Health,Health,Women's Health,,,,information
i have 2 have ear surgery and i'm scared!what can i do 2 clam my nerves!?,,"will you be put under general anesthesia?  if so, you won't even know you had it.  tell them as soon as you get there that this is your first surgery, and they will give you something to calm you before you get put under.  it will relax you, then you count backwards and the next thing you know, you're done-you are totally unaware when under anesthesia-i think its great!","it will relax you, then you count backwards and the next thing you know, you're done-you are totally unaware when under anesthesia-i think its great!",Other - General Health Care,Health,General Health Care,experience,,,information
Why get upset over asbestos because it causes cancer?,When we continue to sell tobacco that causes more cancer deaths than asbestos? And it's  legal to sell!,"Anything that is in the public that causes cancer should be taken care of.

And people who smoke have the choice. People who are in buildings and are not aware that they are containing asbestos do not really have the choice to stay away from it.",People who are in buildings and are not aware that they are containing asbestos do not really have the choice to stay away from it.,Cancer,Health,Diseases & Conditions,,,,information
well 2 person without HIV get HIV?,,"Not sure I understand this question. But, here goes.

If both partners are exclusive and both partners tested negative for HIV/AIDS, then they should never be infected with the disease through exclusive sexual contact. 

But you can get HIV/AIDS in other ways. So if one partner is a Health Care professional and is stuck with a sharp that is infected, then he or she could contract HIV/AIDS.",But you can get HIV/AIDS in other ways.,STDs,Health,Diseases & Conditions,,,,information
Is this true?,"Ok, I don't want to be gross so you can back off now, but I think this is a valid question.

I read in a site that the hymen skin doesn't have to rip irregularly like it usually does, leaving some sort of dented pattern, but that it can be stretched gently so the borders remain in a continuous shape, if it's done gently and slowly and with proper lubrication of course.

Is this true?","yes, in some cases. It is all dependent on the structure of each partner, and the expertise of each. A break in the hymen is often unavoidable, but does not have to be traumatic. There are books your health care provider can reccommend on this subject. It is advisable for both partners to read it together.","yes, in some cases.",Women's Health,Health,Women's Health,,,,information
I am extremely tired and an slowly gaining weight even though I diet-What's wrong with me?,"I am 27, very active!Recently married","First, congratulations and welcome to the other side.

Second, you don't need to diet to loose weight. Eat what you like and when you like. All that needs to be done is balancing the input with the output. Experiment with food combinations and exercise routines. Bank on raw vegetables and fruits to get full, then enjoy the 'real food'. Do play a sport, even if its 'catch the chicken'. Stay happy, get proper sleep, and enjoy life.

p.s drink lemon juice with honey tea, its can do wonders.","Second, you don't need to diet to loose weight.",Women's Health,Health,Women's Health,,,,information
What is a good home treatment for lower back pain?,A friend of mine that lives out of town only 1 and half hour drive anyways he's been having lower back pain for a couple of days now tonight when i was chatting to him on msn i ask him if he had any pain killers he said no and i asked him if he has any money to buy some he said no then i asked him if he had a heating pad and he said no again and i asked him if its any better then it did 2 days ago he said a little and it started when he was sitting down and watching t.v. with his girl friend (its not me) i would like to know is there any home treatment he can do to take away his back pain?,"If the pain is originated in the muscles, then stretching, doing strengthening exercises and taking anti inflammatory meds such as ibuprofen will help. If it originates in the bones, that's a problem for doctors to handle. If it is a muscle problem then, while watching t.v. have him do some stretches on a hard surface. Sit on the bare floor and try different stretch positions to see which ones cause the most pain, and work on those problem areas. Besides that, have him get off of his butt and stop watching so much t.v. The core of the body is the most important part to maintain because his problems will only get worse in the future if he does not do some abdominal or lumbar exercises. Investing in a heat pad will do some good too, but make sure to take aspirin or ibuprofen everyday.","If it originates in the bones, that's a problem for doctors to handle.",Pain & Pain Management,Health,General Health Care,,,,information
Is it really allergies?,"For the past week or so I've had what I thought was pink eye.( My son had pink eye on and off for a month or so) When I get up in the morning, my right eye is swollen,red and watery. However, after being up for a few hours, my eyes seem to be fine and I'm able to put my contacts in.  I've also had a sore throat and a little cough since this started. I've been to my doctor as well as an eye doc and they both say the same thing, allergies. I haven't had allergy problems like this since I was 6 years old!! I'm really getting tired or getting up with a sore throat and puffy eyes. What do you think? Is anyone else out there having these same problems?","I would say that it's allergies! My symptoms are the SAME EXACT ONES as yours!  I just keep blowing my nose, making myself sneeze, and using nasal spray and claritin!  I'm usually 100% by 10am.",My symptoms are the SAME EXACT ONES as yours!,Other - General Health Care,Health,General Health Care,,,,experience
HPV virus and transmission?,"The virus that causes cervical cancer, i understand is transferable through sexual contact.  Right now I'm having abnormal bleeding and am concerned I have it.  My last pap smear was 10 months ago, and I am having one in two weeks.

My question is, my fiance's former girlfriend had cervical cancer, so I'm assuming she had HPV.  Would the removal of the cervix get rid of the HPV, or did she continue to have it? And then give it to him, who gave it to me...?","HPV isn't just cervix related though.  You could still have HPV even if your cervix was removed. You could get it from him, he from her, etc. They just say in girls it's very likely to get this, they are more prone to cervical cancer if they have it. You can get it with even a condom. I have HPV, I got it from my husband and I only have outbreaks when I get stressed. It's important to get tested and if positive to keep at the doctors very frequently so that you know exactly what's going on.",You can get it with even a condom.,Women's Health,Health,Women's Health,,,,information
lately ive been getting cramps in my calves when running. Why?,I haven't been doing any new types of weight lifting or cardio. What could be causing the stiffness and cramping in my calves? What can i do to stop it? it's ruining my run.:(,strech. if you havent been stretching befor and after running that might be your problem,if you havent been stretching befor and after running that might be your problem,Diet & Fitness,Health,Diet & Fitness,,,,cause
does TSS symptoms occur after wearing a tampon several times?,,"""The problem does not seem to be the type of tampon used, but the length of time you keep it or something else in your body. Saying to yourself ""oh, they don't make that kind of tampon anymore, I'm perfectly safe"" is dead-nuts wrong. It wasn't the type of tampon, it was the amount of time women were wearing these superabsorbent tampons during their menstrual period that caused TSS.  So yes, change tampons regularly - don't wear one all night long - and use a low-absorbancy tampon or a pad on your light flow days.""

http://www.io.com/~wwwomen/menstruation/tss.html 

Rather than use a tampon, consider an alternative. There is a menstrual cup product called Instead. I use them almost exclusively. It can be worn safely for 12 hours. There is no string to pee on. You can swim, sleep, even have sex with it in. There is no danger of Toxic Shock Syndrome. The only draw back is that it is messy when you take it out. It is a cup that collects the menstrual blood, and there is not cotton-like material that absorbs it. I get around the messy factor by simply changing them during my morning shower. Check it out. I would never go back to pads or tampons..... 

http://en.wikipedia.org/wiki/Menstrual_cup

http://www.softcup.com/softcup_main.php","It wasn't the type of tampon, it was the amount of time women were wearing these superabsorbent tampons during their menstrual period that caused TSS.",Women's Health,Health,Women's Health,,,,information
"If a male masturbates_ before urine test sample is taken, can doctor detect  that the man has masturbated?",The urine test report has a column that describes the sperm count in urine.,YES HE COULD,YES HE COULD,First Aid,Health,General Health Care,,,,information
what causes the body to loose potassium?,"I have had dizzy occurances before and it has been due to lack of potassium, when I take potassium the symtoms dissappear.  What causes the body to deplete its supply of pottassium?",I don't know why but eat lots of bananas. Potassium also stops the cramps in your legs when you wake up in the middle of the night and want to die because of the charlie horse in your leg.,Potassium also stops the cramps in your legs when you wake up in the middle of the night and want to die because of the charlie horse in your leg.,Women's Health,Health,Women's Health,,,,information
Effects of PCP?,Yea my friend wants to try a drug called PCP he said to gaurd him if he does anything stupid and make sure he doesnt. What should i do?,"First, lock your friend in a small padded room before he uses.

Secondly, hope your friend will not be able to break out of said room during PCP psychosis, during which people often exhibit a lack of pain response and the ability to push their bodies to extreme feats of physical strength.

Or, just tell your friend he's an idiot, and shouldn't be messing with dirty street drugs in the first place.","Secondly, hope your friend will not be able to break out of said room during PCP psychosis, during which people often exhibit a lack of pain response and the ability to push their bodies to extreme feats of physical strength.",Mental Health,Health,Mental Health,,,,information
How else thinks that the new male birth control pill will flop?,It temporarily prevents ejaculation. I wouldn't wanna have sex and have an orgasm without ejaculating. Whats the point of that?!  It feels good when you release semen when you come.,"Its a very noble idea ,a male birth control pill, however we need to learn more about possible side effects on this pill, becuase if it reverses ejaculation in order to prevent it,then semen falls into the bladder,I for one think its too early for this type of pill.","Its a very noble idea , a male birth control pill, however we need to learn more about possible side effects on this pill, becuase if it reverses ejaculation in order to prevent it, then semen falls into the bladder, I for one think its too early for this type of pill.",Men's Health,Health,Men's Health,,,,information
can i lose my hair when my twin brother nis having chemotherapy?,,"People can lose hair from stress/trauma, so perhaps your mother is losing her hair because she is upset about what her brother is going through. If your biggest concern about your brother going through chemotherapy is that you might lose your hair, then I don't think you'll have the same problem.","People can lose hair from stress/trauma, so perhaps your mother is losing her hair because she is upset about what her brother is going through.",Alternative Medicine,Health,Alternative Medicine,,,,information
When is bed rest an option when pregnant?,,"When experiencing premature labor, or blood pressure goes too high. (aka preeclampsia).",(aka preeclampsia).,Women's Health,Health,Women's Health,information,,,information
is this depression?,okay i took sleeping pills so the day would end fast so i could go on the next day is it depression when you wish each day would go by fast,Yes.  Irregular sleeping habit is a sign of depression especially if you are taking pills to go to sleep.,Yes.,Mental Health,Health,Mental Health,,,,information
I have these scars...?,I have these scars on my right shoulder and i dont know how they wer made. I went to sleep and when i got up next morning there were scars which seemed to be made by a claw or something. there were three scars about 8 Cenimeters long. It burnt a bit for an hour but not afterwards. Any idea what causes this kind of scars or why this might have happened. It doesnt pain. but that area has become numb now.,"You might have scratched yourself while sleeping.  Or you could have gotten the scars before you went to bed, but did not notice then.",You might have scratched yourself while sleeping.,First Aid,Health,General Health Care,,,,cause
Can someone answer this question?,(http://answers.yahoo.com/question/index;_ylt=At_IfFF3usW23hMOpnlcwDrsy6IX?qid=20060615082644AAVaN8J ) No one answererd it yet.,The autonomic nervous system is composed of the sympathetic (fight or flight) and the parasympathetic (rest and digest) systems.  They are involuntary and control basic internal functions like blood vessel dialation and heart rate.  Laughing is a higher brain function that is not at all related to the autonomic nervous system.,They are involuntary and control basic internal functions like blood vessel dialation and heart rate.,Other - Health,Health,Other - Health,,,,information
I suffer from something like alargy.  It starts immediately I get to bed.  I've taken alargy drugs but nochang,"At times I sneeze until I experience lots of pain and severe headache.  The nose, ears and inner part of the mouth that hard part up would itche like not for human being.  I've taken drugs for alargy but there is no change.  I feel uneasy most of the times.

Please just help me get the remedy to this problem, even if it would be in a traditionally way.

Nice time and God bless you.","we are what we eat try eat more of vegetable and fish, it may be nothing ....good health","we are what we eat try eat more of vegetable and fish, it may be nothing ....",Other - Health,Health,Other - Health,,,,information
lose my thigh fat?,i have big thighs and i have ok abs how do i get rid of my tigh flab,do a lot of squats and stair masters. a good abduction and adduction exercises (for the thighs) are to lie down on your sides and lift your feet. do about 15 reps 3 times for each side a day. jogging also helps. 30 minutes 5 times a week if you feel you're up for it.,do about 15 reps 3 times for each side a day.,Diet & Fitness,Health,Diet & Fitness,,,,treatment
"Allergic to corn, soy, and wheat..?",These cause severe headaches and already being treated for them....does anyone know where you can buy food that doesn't have these in them...also any web sites would be appreciated..any suggestions for the headaches????,"If you are allergetic to these, you might want to try some orietal diversions.  I don't remember the names, but they tasted pretty good.","I don't remember the names, but they tasted pretty good.",First Aid,Health,General Health Care,,,,experience
I have a question about brown bread?,"Ok, so everyone says brown bread is good for you, its healthy for your heart....so why does it have so many calories in it??","Registered Nurse here; Hun let me clarify, it's not just brown bread. But 100% whole wheat bread, this bread doens' have as many calories as white bread.  Plus the reason it benefits you health wise, is it's 100%, whole grain, assist the cardiovascular system, as well as the digestive tract, for it has fiber in it, in return it facilities bowel movements more easily, by decreasing constipation.  White bread has more carbs, more fat, and the white flour is refined, which makes one's blood sugar go up fast & also falls fast.  Whole grains, take longer to digest, and gradually digested.  I appreciate the opportunity to address your question.","Registered Nurse here; Hun let me clarify, it's not just brown bread.",Diet & Fitness,Health,Diet & Fitness,,,,information
"Borderline personality disorder, what is it?",what are the charicteristics of a person with it?,check out the website,check out the website,Mental Health,Health,Mental Health,,,,suggestion
Hypocalcimia after thydroidectomy - Want new management?,"No improvement with Caicium suppliments, Vit D, or Alpha D3",PTH hormone,PTH hormone,Other - Diseases,Health,Diseases & Conditions,,,,treatment
does medicaid cover a gastric bypass?,,No. My tax dollars shouldn't be wasted on people who don't know how to walk away from the table. That procedure is purely cosmetic.,That procedure is purely cosmetic.,Women's Health,Health,Women's Health,,,,information
please tell me about diabetes retinopathy?,,"my friends with diabetes use www.nutrihand.com

they tell me that their diabetes is doing great all because of  www.nutrihand.com

They have a community of support...",they tell me that their diabetes is doing great all because of  www.nutrihand.com,Diabetes,Health,Diseases & Conditions,,,,experience
Is it normal to not have your period for 6 months?,i was on birth control for a year and my perscription ran out.  i haven't had my period for 6 months now and the doc said i wasn't pregnant.  They gave me a perscription to make me get my period but i haven't taken it yet.  I wanted to wait for school to get out b/c of the pain I am probably going to be in.  Anyone else had something like this happen?,"You could have a progesterone imbalance, polycystic ovary, hyperinsulinism... Google some sites related to this problem and read up on a relible medical site.  You won't necessarily have a painful period (personal experience).  Your overall health picture is essential to identify a particular problem.  Go to a real understanding gyn or reproductive endocrinologist.",Go to a real understanding gyn or reproductive endocrinologist.,Women's Health,Health,Women's Health,,,,suggestion
Is this normal thinking?,"I am miserable. I doubt that I am anorexic or have an eating disorder of any kind, but I am pretty sure that I have an obsession with food. I plan out my meals days in advance and worry if I am consuming too many calories. I constantly think about food and gaining weight. I am scared of any added fat, and I feel guilty if I think I've eaten too much. It's making my life pretty dismal. Is this normal?",it is not normal-and when you said you doubt you have an eating disorder....well....thats a sign in itself-you def have the makings of one I think-it will only get worse believe me-get some help.x,it is not normal-and when you said you doubt you have an eating disorder....,Diet & Fitness,Health,Diet & Fitness,,,,information
did andy griffith have guillain barre syndrome?,,no,no,Other - Diseases,Health,Diseases & Conditions,,,,information
"Has anyone had a pressure across abdomen under breast after mainly drinking alcohol, especially beer?",,"Hi, 
Check out info on hiatial hernia. 
Hope it helps.",Hope it helps.,First Aid,Health,General Health Care,,,,information
"My epilepsy is controlled with drugs, however I still get 'Jumpy' when someone is making me nervous?","Some body is looking over my shoulder, or I'm confused for some reason. Sometimes I jump or jerk do you know what I mean?...I gasp and it feels like I can hear my heart beat. Does anyone have a similar problem?...Or advice?","I have a friend who has a severe case of epilepsy the doctor's had her on so many medications it was making her condition worse. I helped her to learn to eat a healthy diet and avoid stress as much as possible.A healthy diet meaning no coffee or any caffeine. Eat lots of fruits, vegetables, whole grains and raw nuts. Never eat animal foods such as meat, milk and especially not cheese.You stomach has to work hard to digest these disease causing items sometimes it has to shut down the brain for all the extra work your body has to do in order to digest certain foods.Flax seed oil with Omega3 is vary good for the brain. My friend who I continue to help is now able to drive a car and legally. Just 3 years ago her doctors told her she would never be able to drive again.She proved them wrong. She has cut her medication down to just 1/4 of what she had been taking before. I believe she will be completely healed over time as long as she's following this healthy method.",I believe she will be completely healed over time as long as she's following this healthy method.,Other - Diseases,Health,Diseases & Conditions,,,,information
How do I treat meth sores.?,,don't do meth!,don't do meth!,First Aid,Health,General Health Care,,,,treatment
could anyone help me on increasing ejaculation by 'natural means'?,natural means' that is by eating what kinda food and other stuff like dat...,"You should try several gram per day of L-arginine, L-glycine capsules or powder - these increase semen fluid.  Also you need zinc 100 mg daily & B-complex vitamin tablet with it.

Several scoops daily of pure protein powder dissolved in juice of whatever.  

Eat wheat germ mixed with oatmeal.   Several spoons daily raw bee pollen & a dozen capsules daily of spirulina.  

If you take these faithfully - you will see a difference in a few weeks.  also try abstaining a bit now & then.    this increase semen in your body.",Eat wheat germ mixed with oatmeal.,Men's Health,Health,Men's Health,,,,treatment
Is it bad to use birth control pills through the years?,what are the side effects?,"well yes it is bad to use birth comtrol pills :Common Side Effects:
Nausea 
Vomiting 
Cyclical weight gain 
Bloating 
Melasma 
Breast tenderness 
Depression 
Mood swings 
Headaches 
Rare Side Effects:
Blood clots 
Thromboembolism 
Stroke 
Retinal artery thrombosis 
Heart attacks 
Benign liver tumors 
Gallstones 
Increase in blood pressure 
A link with breast cancer remains controversial 
Failure of birth control 
Women Should NOT Take OC’s If They Have Any Of These Conditions:
History of coronary heart disease 
Very high cholesterol 
History of blood clots or stroke 
Late renal failure 
Jaundice 
Symptomatic heart valve disease 
Breast cancer or other estrogen dependent cancer 
Smokers 
CONTRACEPTIVE PILLS WILL ALSO HOLD U TO A HIGH RISK OF BREAST CANCER! YOU WILL ALSO BE AFFECTING UR FERTILITY!",Heart attacks,Women's Health,Health,Women's Health,,,,information
