subject,content,answer,sentence,cat,maincat,subcat,a_perspective_1,a_perspective_2,a_perspective_3,s_perspective_1
How can I treat my depression other than medication?,,"Depression is a touchy thing, sometimes you must have medication, because of the chemical imbalance. But if you want to try, eat very health, get lots of exercise, dont just sit around the house get out and take a walk or even just read a book outside. Before I started treatment for depression, I couldnt make myself do any of these things, and got mad at people who told me too.lol.  So dont be mad at me but, if those simple things are hard to do, please see a doctor, you wont regret it.","Depression is a touchy thing, sometimes you must have medication, because of the chemical imbalance.",Women's Health,Health,Women's Health,,,,information
"Allergic to corn, soy, and wheat..?",These cause severe headaches and already being treated for them....does anyone know where you can buy food that doesn't have these in them...also any web sites would be appreciated..any suggestions for the headaches????,"If you are allergetic to these, you might want to try some orietal diversions.  I don't remember the names, but they tasted pretty good.","I don't remember the names, but they tasted pretty good.",First Aid,Health,General Health Care,,,,experience
How can I find something I can eat?  Allergies and Food Sensitivities.?,"I am allergic to dairy (not intolerant) and eggs.  I cannot even have yogurt, goat's milk, rice milk, soy milk etc.  I am allergic to them too.  I can't eat pasta - I am allergic to Kraft dinner (powdered cheese.)  I cannot eat processed foods.  I cannot eat at restaurants or potlucks. I can't eat sausages, hot dogs, hamburgers, etc.  Fruit and salads are not appealing when I am hungry as I get much hungrier eating them.  I can't eat baked foods from stores as they have eggs and I am very allergic to eggs (throat and tongue swell, strong pain in stomach and intestines, pass out...)  My largest trouble is getting started eating.  I have a lot of difficulty finding breakfast, and if I don't eat breakfast I am thrown off all day.  I was eating toast, but repetitive foods make me feel noxious - and grain foods more than most.  If I am even a few minutes late for any meal, it is the same.  Once I am hungry, I cannot eat.  I am getting an eating disorder and don't know how to get out of it.",Have you tried vegatarian foods?  I mean cooking them yourself.  If you can't find many places that you can eat at it is best to make your own food and take it with you.  Organic food is probably something you want to consider.,If you can't find many places that you can eat at it is best to make your own food and take it with you.,Other - Diseases,Health,Diseases & Conditions,,,,treatment
Would it be healthy....?,"Instead of striving to eat my 3-5 vegtables and 2-4 fruits a day, could i just replace it with a multi-vitamin or maybe even two. So i can concentrate on things like you cant get in a pill ( ie: carbs, protein). I mean i would still be getting all the nutrients i need, but i wont be wasting my time with vegtables. I could be eat something more energizing or muscle building.","I suppose, but if you ever find out how they make the vitamins and where they actually get the minerals for supplements you will gag and never ever go back to that crap. Vitamin C for example is made by letting the sludge from sewers ferment and scraping the mold off and making it into Vitamin C. Hope you enjoy your vitamin supplements.",Vitamin C for example is made by letting the sludge from sewers ferment and scraping the mold off and making it into Vitamin C. Hope you enjoy your vitamin supplements.,Diet & Fitness,Health,Diet & Fitness,,,,information
i have been having pressure in my ears when i get up and throbs like a heart beat it goes away with no pain.?,It doesnt happen every day but it has happened often and i was wondering if i could be a sign of high blood pressure though i have been told there realy are no signs for high blood pressure. Any help would be appreciated.,"It could be, go get it checked.","It could be, go get it checked.",Heart Diseases,Health,Diseases & Conditions,,,,suggestion
how do i know if my baby is a genisus?,how do i make him a genisus if he is not?,"By how quick it teaches you.  By the way, the word is spelled genius, not genisus.  find a dictionary and read it.","By the way, the word is spelled genius, not genisus.",Mental Health,Health,Mental Health,,,,information
Can FIBER make you slimmer?,best answer gets 10 points,"I do know that it can slough a lot of toxins and buildup out of your @ss, which is a good thing in itself. FIBER = GOOD! YUM!",FIBER = GOOD!,Diet & Fitness,Health,Diet & Fitness,,,,information
"What are the most effective medications for individuals with psychotic disorders, and why?",,"Anti psychotics, where do you think they got their name? They make you Anti Psychotic meaning you will have no more Psychotic symptoms of your disorder on the period of time you are on them! Talk to your doctor for more information and/or visit this wonderful site! http://en.wikipedia.org/wiki/Antipsychotic",http://en.wikipedia.org/wiki/Antipsychotic,Mental Health,Health,Mental Health,,,,suggestion
what is the best X-ray school to attend and is 39 years of age to old?,,"The Pima Medical Institute may be a good choice for you. It is a 2 yr. program. It costs around 17,000 (financing available)They are located in various places such as Albuquerque NM, Phoenix, Seattle (i think). The first year is book work in the classroom. The second year is internships in various hospitals. I graduated from the program around 1998...I never worked in the field though. I would also suggest that before you sign up to try to make sure it is for you...there are many types of exams I didn't know about, that the RT (radiologic technologist) is required to perform such as (BE's), (IVP's - intervenous pylograms --you as a tech have to inject the dye into the patient), retrogradecystourethragrams....etc...but there are also many specialty areas you could branch into even if those exams don't appeal to you ---know in advance! so you can specialize during school! (CT =cat scans)(nuclear med.)(ultrasound)(MRI -magnetic resonance imaginging) etc...(39 is a good age!)
Good Luck!","there are many types of exams I didn't know about, that the RT (radiologic technologist) is required to perform such as (BE's), (IVP's - intervenous pylograms --you as a tech have to inject the dye into the patient), retrogradecystourethragrams....",Alternative Medicine,Health,Alternative Medicine,,,,information
What happens to to our bodies if we do not exercise enough?,can the muscle loss be reversed,lol yeah weight and musle thingi,lol yeah weight and musle thingi,Men's Health,Health,Men's Health,,,,information
what is a good alternative eye treatment for dark circles?,,ssssSsSLLLLEEEEEEEPPPPPPP!!!!!,ssssSsSLLLLEEEEEEEPPPPPPP!!!!,Alternative Medicine,Health,Alternative Medicine,,,,treatment
"What natural herb, oil or remedy is good for arthritis?","To relieve swelling, pain and stiffness","Though there are no good remedies, TIGER BALM is good for instant relief of pain. just apply little!",just apply little!,Other - Diseases,Health,Diseases & Conditions,,,,treatment
how to cure black circle under eyes?,,Sleep a lot.,Sleep a lot.,Other - Health,Health,Other - Health,,,,treatment
Do you know anyone who has had WLS or Weight Loss Surgery??  How did they do after?,I asked a similar question a few days earlier so this time I simplified the question.  Hopefully I will get more responses.,"I had a male boss who did this.He looked good but was still a bit chunky.He also got very vain.Was forever checking himself out in mirrors and asking ""do I look good?""",I had a male boss who did this.,Women's Health,Health,Women's Health,,,,experience
Any medical people out there?,"I know no one over the computer can diagnose me so please do not tell me that. Also please do not tell me to get to the dr!
My story is kind of long. I will fit it here as best as I can. Basically I have been having all kinds of health problems.I do not have insurance and a limited budget so I have been to the doctor but not like I SHOULD be! I need to know if my symptoms are symtoms of anything specifically so I can be sure exactly what to look into. Also I have taken three pregnancy tests all negative. So that has been ruled out! I have limited space so even though some of my symptoms require details I am not included them just listing symtoms
No appetite
When I do feel hungry get nauseous after eating
headaches (almost constant)
BAD pains in stomach
gassy
low energy
heightened sense of smell
constipation
not vommiting at all but feeling nauseous a lot of the time
blurred visions
irregular cycle 
Theres more but those are the most daily things. About the past month or so",If you haven't had it out already it could be your gallbladder. Since you do not have insurance (I would look into Medicaid) you could try sticking to a low fat bland diet. See the website below for ideas. This helps if it is your gallbladder. Also if your pains get worse DO NOT WAIT go the ER IMMEDIATELY. If you do have gallstones they could fall into the common bile duct and you get could get seriously ill and may need emergency surgery. Take cae and good luck.,See the website below for ideas.,Women's Health,Health,Women's Health,,,,suggestion
what is shoulder impingement syndrome?,,Simple.  The shoulder tendon gets squeezed by the bones when you lift up your arm.  It hurts but gets better with time and rest.,The shoulder tendon gets squeezed by the bones when you lift up your arm.,Injuries,Health,General Health Care,,,,information
Does anyone know where i can sell my Bone Growth Stimulator and other medical supplies?,I had a Spinal Fusion last March. I have no need for these things and im moving.,try  Ebay.,try  Ebay.,Other - Health,Health,Other - Health,,,,suggestion
does Incisalign Braces REALLY work?,Do they really straighten your teeth? if so does it hurt? how much does it usually cost? Please Help.,"http://www.invisalign.com/generalapp/us/en/index.jsp

you can also check with an orthodontist in your area",http://www.invisalign.com/generalapp/us/en/index.jsp,Dental,Health,Dental,,,,suggestion
Do you think the government is lying about not having an Aids cure?,I need the real people 4 this 1.,"No, eventually the goverment has to pick up the bill for those needing treatment & can't afford it (that's my guess).","No, eventually the goverment has to pick up the bill for those needing treatment & can't afford it (that's my guess).",Other - Health,Health,Other - Health,,,,information
being tired?,"im so tired lately and i always get at least 8hrs of sleep, whats my problem? is there anything that can help it? im 20/f and work 3-11, this tiredness problem is not a good thing. i already had my thyroid checked before and its fine. got any ideas?",You could possibly have hypersomnia or sleep apnea.  You should go talk to your doctor about a possible sleep test.  I did this and got a CPAP machine a few months ago.  It has been a MIRACLE.  Good luck!,I did this and got a CPAP machine a few months ago.,Other - Diseases,Health,Diseases & Conditions,,,,experience
"Can a baby be malnutrician if he/she is not feed with meat? I mean, can a baby be born a vegetarian?",,"Babies can be vegetarian, but care must be exercised that they are fed a balanced diet, as with all babies.
You may find books on vegetarian parenting useful, as well as a number of websites:
http://www.vegsoc.org/info/familyindex.html
http://www.ivu.org/articles/children.html
There are quite a few books listed on http://www.amazon.com
so have a search if you are interested.","Babies can be vegetarian, but care must be exercised that they are fed a balanced diet, as with all babies.",First Aid,Health,General Health Care,,,,information
does alcohol and smoking increases the cholestrol levles in human body?,diet to reduce the cholestrol in human body,a word it out that it does!,a word it out that it does!,Men's Health,Health,Men's Health,,,,information
Why is it painful for some people to use the toilet? What medically is wrong with them?,,"He or She may have urinary tract infection or may have piles or anal fissure or infection
 in genitals.",He or She may have urinary tract infection or may have piles or anal fissure or infection,Other - Health,Health,Other - Health,,,,cause
What are some Symptoms of pregnancy during first 4 weeks?,"I have been reading a lot of articles about first signs of pregnancy, but they only say what can happen during the first trimester, can anyone tell me what are some possible symptoms that a woman can have even before her actual missed period, like I am supposed to get it next week but, I suspect that I may be pregnant. What are some symptoms some of you have had maybe the first three weeks? Sorry so long.",when i was pregnant 3 times i never had the normal things everyone else did i never had no symptoms,when i was pregnant 3 times i never had the normal things everyone else did i never had no symptoms,Women's Health,Health,Women's Health,,,,experience
"which part of human body is called ""groan""?",,the part that makes you groan when fondeled,the part that makes you groan when fondeled,Other - Health,Health,Other - Health,,,,information
"sometimes I get sharp stabbing pains in hips, very painful. What is it?","It all started 10 years ago, while I was on treatment for Hep-C.
Got better with much less attacks after treatment stopped.
Now, for the past two years the pain has returned.
Although it doesn't bother me all the time, when the pain does hit
it's excrutiating, just like someone stabbing me with a knife.
It bothers me most of all when I'm in a sitting and leaning forward,
like when I'm digging in my flower beds.
Does anyone have any answeres or suggestions?
Thanks, Jewels.",I have treated a patient with 13 years' pain. It is nerve pain and nothing else. There is no medicine. Only alternate systems of medicine can treat it. See a skilled acupuncturist or think if you can visit us.,It is nerve pain and nothing else.,Pain & Pain Management,Health,General Health Care,,,,information
"MS/FMS induced stuttering (slow, heavy tongue) Any ideas on reducing impediment?","Trouble arises when disease flares, or if I engage in 20/30 minute conversation. Speech becomes extremely difficult and tiring. Requires huge effort.

I need to speak in my line of work.  Any ideas on how to avoid this problem?","Sorry, don't know.","Sorry, don't know.",Other - Health,Health,Other - Health,,,,information
my eye got bit by a dog..what is the sharp pain i'm feeling in it>?,"got bit on eye brow..it is healing and i have a scar,occasionally i get a sharp pain in it and it feels like I can't focus.what do i need to do",It is probably infected and you should probably see a doctor.,It is probably infected and you should probably see a doctor.,First Aid,Health,General Health Care,,,,suggestion
"If you get pains in your legs but you're not growing, and you have poor circulation in hands/feet what is it?",,I had similar pains and simptoms after eating spicy/hot food.,I had similar pains and simptoms after eating spicy/hot food.,Other - Diseases,Health,Diseases & Conditions,,,,experience
How come I sneeze when the sun is out from time to time?,yes.,because you are allergic to the sun. you may have Vampirectus.,because you are allergic to the sun.,Other - Health,Health,Other - Health,,,,cause
What are the risks for having my gall bladder removed?  What does the gall bladder do?,I went to the doctor today and they think the pain I am having is from my gall bladder.  I have more testing to do still.  Im just curious!,"Gall blader surgery is very safe nowadays. My cousin got her Hernia and colostomy surgery in India by a company called Forerunners Healthcare .The Price for Minimal Invasive and Laparoscopy surgery is very less in India. She paid 25% of the cost she was quoted in America.

Forerunners Healthcare is very famous in India. They arrange Hernia, Appendectomy, Thyroid and other laparoscopy surgery for foreigners in India.
I read a lot about them in the Newspapers and about their patient stories. They arrange financing for USA, Canadian, UK and other international patients who plan to have surgery abroad for low price, as the Hernia, Colostomy and other minimal invasive surgery is not covered by insurance. They also have photos pasted of their International patients. You can checkout their website. There are huge cost savings. As a doctor I personally believe that surgery can be easily handled in India, as the quality of healthcare available In India is simply best in the world. The surgeons are USA/UK trained and facilities are 5 star.

http://www.forerunnershealthcare.com
Hope this helps.",I read a lot about them in the Newspapers and about their patient stories.,Other - Health,Health,Other - Health,,,,information
appetite supressant?,"ever heard of phentrazine 37.5 for appetite supression and weight loss?  if so, have you tried it and did it work?","Nothing works in the long run other than eating less and exercising more.  Look to modify your lifestyle, and you can't lose!","Look to modify your lifestyle, and you can't lose!",Diet & Fitness,Health,Diet & Fitness,,,,treatment
I recently found a lump in my breast.?,"I had an US and mammogram, which showed nothing.  How can I be sure it truely is nothing?  There were also what they called ""calcifications"" in the other breast and some ""shadowing"".  Is this anything to be concerned with?","If you are truly concerned, consider getting a second opinion from a doctor of your own choosing, NOT one that's been recommended by the doc that gave you the first reading.  That way you know there are no conflicting interests.

Sometimes a lump is just a lump.  Breasts get lumpy during certain times of the month, and goes along with normal cycles.  Calcifications and shadowing are pretty routine findings as well.  If there was something to be concerned about, the first doc would have ordered a biopsy on the lump.  A biopsy is where a needle is inserted into the lump and a sample is taken to be studied, to determine whether it is cancerous.",That way you know there are no conflicting interests.,Women's Health,Health,Women's Health,,,,information
How and why does clotting start in the uterus and causes a pulmonary embolus?,,"clotting starts in the uterus (or anywhere else inthe body) by the clotting cascade.  these are many factors that regulate the clotting in the body.  the intrinsic and the extrinsic factors with calcium being common to both.  clotting occurs because the body recognizes that the blody is bleeding somewhere and hasn't stopped.  This starts the cascade.
Blood clots (emboli) are partsof clots thathave broken off and travel through the blood vessels (either venous or arterial) and stop where their size becomes and issue with the tube they are in.  Venous clots are generally safer than arterial, however, both have their consequences.  in your ?, the clots break off and travel to the pulmnonary vasculature...depending on how small, you may experience a twinge (or nothing at all) to sudden dealth by the 'saddle embolis' that now occludes both pulmonary arteries.
heparin or coumadin are acute treatments and aspirin is a mild thinner (does notprevent clotting, but makes the cascade a little slower)
lab tests may be a pt/ptt, pro c and s, split fibrin products....a ct with contrast or arteriogram may be the diagnostic method of choice...MRI's take too long to get a good picture...",a ct with contrast or arteriogram may be the diagnostic method of choice...,Women's Health,Health,Women's Health,,,,suggestion
"Are Novafem Disposable Douches available in stores, or can you only get them online?","If they are available in stores, in which store can I find them?","Douching is harmful to that vagina. It's good not to use douche. Natural secretions flush germs out of the vagina just fine. If you use douche, instead of rinsing out the vagina, what happens is the douche pushes the germs further up into your reproductive tract. Even if you don't kill good bacteria, douche is bad because it spread bacteria (good and BAD) far into your reproductive tract (vagina, uterus, oviducts). Infections can spread and get really bad, and turn into pelvic inflammatory disease (PID). PID can make you permanently infertile!

If you want to have children someday, then stop douching. A vagina is supposed to smell like a vagina. As long as you get your annual pelvic exam, always use condoms during sex and get regualr STD tests every 6 months (or more if you change partners a lot), then your vagina will stay healthy.","As long as you get your annual pelvic exam, always use condoms during sex and get regualr STD tests every 6 months (or more if you change partners a lot), then your vagina will stay healthy.",Women's Health,Health,Women's Health,,,,treatment
i am almost 14 and ...?,and i haven't had my period is there something wrong,"Definitely not. I have quite a few friends that didn't get theirs until they were 18. Enjoy not dealing with it for as long as you can! No white pant worries, no running to the bathroom worried about whether you have sufficient supplies, no late night trips to the grocery for midol. No cramps....I envy you.",Definitely not.,Women's Health,Health,Women's Health,,,,information
I was exposed to TB and I want to know does that mean I actually have TB like someone who is active?,"I'm not ashamed or anything,just curious as to what my T.B status is.Thanks...","Hi there...

I could not tell you for sure but I have taken some EMT classes and here is what I know.  Just because you are exposed does not mean that you necessarily have TB but there is a really good chance that you probably would.  My best advice to give ya is go to a free health clinic and get tested.  I really hope that everything turns out okay!!!

Thanks and hope this helps ya!",Just because you are exposed does not mean that you necessarily have TB but there is a really good chance that you probably would.,Respiratory Diseases,Health,Diseases & Conditions,,,,information
I have high blood pressure. BUUUUUURRRRRRRRRRRRP!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!?,What can I do to lower my blood pressure? This sucks nards.,Change your eating habits/diet. Same with your cholestoral could be changed too.,Change your eating habits/diet.,Men's Health,Health,Men's Health,,,,treatment
how do you know that you have azma?,my friend thinks she has azma how do we know,"If she wheezes (makes noise when she breathes) when she exercises, or gets stressed out, or is allergic to something.

She can talk to her doc and get an inhaler that stops the wheezing fast.","If she wheezes (makes noise when she breathes) when she exercises, or gets stressed out, or is allergic to something.",Other - General Health Care,Health,General Health Care,,,,information
i have two questions about tampons?,first of all.. how do i no if i have inserted my tampon correctly? and second question... does a tampon get wet inside of you or does it stay dry.. bc once i had it in and it became all wet.. does this mean  i inserted it wrong?,"TO THE FIRST QUESTION, YOUR TAMPON SHOULD FEEL SNUG INSIDE OF YOU, TO YOUR SECOND QUESTION, YES, THE TAMPON IS GOING TO GET WET, THE TAMPON IS WHAT COLLECTS THE MENSTRAL FLUID.","TO THE FIRST QUESTION, YOUR TAMPON SHOULD FEEL SNUG INSIDE OF YOU, TO YOUR SECOND QUESTION, YES, THE TAMPON IS GOING TO GET WET, THE TAMPON IS WHAT COLLECTS THE MENSTRAL FLUID.",Women's Health,Health,Women's Health,,,,information
Anyone know if Splenda/Equal causes tooth decay like regular sugar?,Since they're not real sugar do they cause cavities like regular sugar would?,"I'm a dentist.

There is no way someone's ""friend"" could do a ""science project"" studying whether or not sugar substitutes cause tooth decay....unless of course this ""friend"" had an entire lab with support staff and thousands of dollars worth of equipment.

Modern dental researchers use rats in carefully controlled environments.  They test for the effects of various materials on rats' teeth by sacrificing the rats and examining the teeth under electron microscopes...among other techniques.  It's not some high school science project like seeing which soil makes plants grow faster.

The answer to your question is ""no"".

These sweeteners, as far as I know, cannot be metabolized by the bacteria that cause tooth decay.

Tooth decay is caused by bacterial metabolism producing lactic acid as a waste product.  This lactic acid is what lowers the pH at the surface of your tooth and causes breakdown of the tooth structure.  If the bacteria residing on your teeth are not provided with food they can metabolize, then they cannot produce lactic acid and thus, cannot cause tooth decay.","If the bacteria residing on your teeth are not provided with food they can metabolize, then they cannot produce lactic acid and thus, cannot cause tooth decay.",Dental,Health,Dental,,,,information
Medical Question - serious?,I have a nipple that seems to leak although it never feels wet or leaves wet spots but it does seem to eat holes through my clothes around that nipple.  The doctors are running tests but haven't came up with any answers yet.  Anyone ever heard of this?,"different chemicals in your body could affect different bodily functions,seeking medical advice is definately your best answer","different chemicals in your body could affect different bodily functions, seeking medical advice is definately your best answer",Women's Health,Health,Women's Health,,,,suggestion
Does a physician have to be present when administering contrast for a CT and or MRI?,,No. The CT or MRI technician is trained to administer the contrast.,The CT or MRI technician is trained to administer the contrast.,Other - Health,Health,Other - Health,,,,information
Has anyone used ear acupuncture to stop smoking?  Did you succeed?,"I have an appointment to get ear acupuncture next week.  I truly want to quit smoking again (4th attempt in 10 years). I am lookin for success stories.  Also, people who haven't succeeded and what happened to make you go back?",Yes it works!  I was getting it 3 or 4 times a week at first.  In Nova Scotia it's a free service provided by our government.   I peetered down to once a week and then stopped going.  I had been smoke free for 6 months.  When I stopped going to acupuncture and some stresses at home occured the smoking started again.  I am just resuming the treatments...  hopefully it will work.  My doctor suggested Welbutrin as the best option but it's an anti-depressant and I really don't want to start taking drugs that might alter how I will feel.,In Nova Scotia it's a free service provided by our government.,First Aid,Health,General Health Care,,,,information
What is a good way to combat water retention before your period? Are there any supplements you can take?,,"lower amount of sodium ( salt ), and hydrate yourself well ( water - not soda or juices with added sugar)","lower amount of sodium ( salt ), and hydrate yourself well ( water - not soda or juices with added sugar)",Women's Health,Health,Women's Health,,,,treatment
Drink water but still dehydrated?,"I drink water, maybe not 64 ounces a day, but a decent amount...but I tend to urinate most of it out.  Hence I'm still somewhat mildly dehydrated...what does that mean?  Or do I need to just keep drinking water?",I have the same problem! Email me the answer please.,Email me the answer please.,First Aid,Health,General Health Care,,,,information
how do i treat bruised or broken ribs?,,go to the doctor or hospital,go to the doctor or hospital,First Aid,Health,General Health Care,,,,suggestion
The left mid section inside my body hurts. What could it be?,,"I think your appendix is on your left side, it could be an appendisits you should go to the doctor to have it checked out because if it bursts the fluid inside is toxic to the rest of your body and could kill you.","I think your appendix is on your left side, it could be an appendisits you should go to the doctor to have it checked out because if it bursts the fluid inside is toxic to the rest of your body and could kill you.",Women's Health,Health,Women's Health,,,,cause
How can you prevent/ get rid of brown moles on your face?,,"there is no way of getting rid of them, apart from surgery. go to your doctors.","there is no way of getting rid of them, apart from surgery.",Skin Conditions,Health,Diseases & Conditions,,,,treatment
What is a good home treatment for lower back pain?,A friend of mine that lives out of town only 1 and half hour drive anyways he's been having lower back pain for a couple of days now tonight when i was chatting to him on msn i ask him if he had any pain killers he said no and i asked him if he has any money to buy some he said no then i asked him if he had a heating pad and he said no again and i asked him if its any better then it did 2 days ago he said a little and it started when he was sitting down and watching t.v. with his girl friend (its not me) i would like to know is there any home treatment he can do to take away his back pain?,"If the pain is originated in the muscles, then stretching, doing strengthening exercises and taking anti inflammatory meds such as ibuprofen will help. If it originates in the bones, that's a problem for doctors to handle. If it is a muscle problem then, while watching t.v. have him do some stretches on a hard surface. Sit on the bare floor and try different stretch positions to see which ones cause the most pain, and work on those problem areas. Besides that, have him get off of his butt and stop watching so much t.v. The core of the body is the most important part to maintain because his problems will only get worse in the future if he does not do some abdominal or lumbar exercises. Investing in a heat pad will do some good too, but make sure to take aspirin or ibuprofen everyday.","If it originates in the bones, that's a problem for doctors to handle.",Pain & Pain Management,Health,General Health Care,,,,information
Whats up with...............?,"Hey I need all the dirt (Good and Bad) on birth control.
I can't Ask my Doctor cuz my mom always comes to my apponintments with me. And don't worry bout my age im 15 and a bout to be 16 so im straght.
One of my friends is on it. First she started out on the patch untill her auntie called her about 21 Women who died from the patch in Tennessee and how it was all over the news and she was also one of those girls who had no shape ( a stright up Tree) and the pill enhanced (made bigger) her breast, butt, thigs, and stomach. shes not fat she just got shape. and i allready have a big butt, small waist, and a large breast (am i the only one who wants her **** to stop growin?) so i cant afford to blow up my hour glass shape would be distroied!!!!!!!!!!

and my BoyF wouldnt be too happy bout that! or would he?","If you're asking as a contraceptive, then it's not the most effective way, condoms are.","If you're asking as a contraceptive, then it's not the most effective way, condoms are.",First Aid,Health,General Health Care,,,,information
"I have a small lump on the left side of my neck.  It doesn't hurt or move, and is very hard. What is it?",,It's probably just your lymphnodes fighting off infection. If it starts to hurt or doesn't go away within a week get it checked out.,If it starts to hurt or doesn't go away within a week get it checked out.,First Aid,Health,General Health Care,,,,suggestion
birth control increasing my appetite?,"I've been on the pill Triquilar for just under a month and i swear my appetite has increased like crazy. I feel like im always hungry and seem to have a much sweeter tooth. I'm usually really careful about what i eat normally. Can birth control pills have that much of an effect on ur appetite, should i just stick it out, will it go away? Or should i talk to my doctor about switching pills?","The last pill I tried definitely increased my appetite so much so that I was hungry continuously for a couple of weeks.  I ended up going off of the pill- but not for that reason. I know people that gain weight on the pill, however the last time I was on, when I was constantly hungry, I lost a few.",The last pill I tried definitely increased my appetite so much so that I was hungry continuously for a couple of weeks.,Women's Health,Health,Women's Health,,,,experience
"what are ""spondyloretrolisthesis"" ,"" canal stenosis"", ""neuroforamine"", ""disk bluging"" in ""MRI"" imaging?",,"canal stenosis  means  canal narrowing  and the canal referred to is the one where the spinal cord is.

neuro foramina   are openings  between the vertebrae (backbones) through which nerves leave the spinal cord.

disc bulging  : the disc is a cartilage disc that acts as cushion between the vertebrae , the canal through which the spinal cord runs is behind the bodies of the vertebrae, if the disc slips (like from injury or degeneration with age)  it could either bulge backwards and press the spinal chord( leading to pain sometimes paralysis)  or more commonly slip to one side 
and press the nerve roots that are coming out of the foramina.

spondyloretrolisthesis   means simply  slipping of one vertebra over the other.",and press the nerve roots that are coming out of the foramina.,Other - Diseases,Health,Diseases & Conditions,,,,information
Can oral sex cause sth blocking the throat from speaking clearly?,"I had oral sex with my wife for a long time and I am a telephone operator for more than 3 yrs, suffered from laryngitis and now feeling sth blocked in the throat when speaking.Is there any relation?Thank you","Sex hormones are there in blood as well as saliva, mucous everywhere. when couple is incompatible according to indian system of astrology (depends on moon position at birth), bloods incompatible and health problems arise. Allergy is one, asthma is another. Check up for this compatibility (points out of 36, nadi dosha etc)","Allergy is one, asthma is another.",Mental Health,Health,Mental Health,,,,information
what component or chemical can give an antiinflammatory property?,,fluoro group in meta position will give that properity..,fluoro group in meta position will give that properity..,Alternative Medicine,Health,Alternative Medicine,,,,information
Where can I find a place on the web to look up a pill?,Can I look up the name of a pill and find what it's used for? I want a website please.,"If the pill is a brand name,you can type in the name of the pill into your search engine and it will fine the manufacturer.If it is generic you can still do this,but you might type in Web MD it can tell you the pill name","If it is generic you can still do this, but you might type in Web MD it can tell you the pill name",Alternative Medicine,Health,Alternative Medicine,,,,information
what is the best way to fithing a cold?,,"Zicam works great!!!   read the directions, when you first feela  cold coming on take it as directed, its natural and works great",Zicam works great!!!,First Aid,Health,General Health Care,,,,treatment
Does a pancreas transplant have to come from a deceased donor?,"My husband may need a kidney transplant.  His specialist told him it would be better to have a pancreas transplant at the same time because of his out-of-control diabetes.  I know a kidney can come from a live donor, but wouldn't he have to be put on a waiting list for a pancreas?","Yes, the pancreas would have to come from a nonliving donor, usually one that's died due to a brain injury. As far as kidneys are concerned, we're each born with 2, so somebody can donate one. Livers can also regenerate in some cases and you can receive part of a liver and it will grow to a whole one. The pancreas however is an organ that has to remain intact to work.

It sounds bad, but the best time to find organ donors is during the motorcycle season.","It sounds bad, but the best time to find organ donors is during the motorcycle season.",Other - Diseases,Health,Diseases & Conditions,,,,information
how can i reduce the excess fat in my stomach?,I have lot of fats concentrated in my stomach and i am looking for a way to erdicate it,"The best way to lose the fat is cardio exercise, and of course eating well. Sit-ups are great to tone and build muscles but it will not eliminate fat.","The best way to lose the fat is cardio exercise, and of course eating well.",Diet & Fitness,Health,Diet & Fitness,,,,treatment
can cosmetics cause breakouts?,"i never get pimples, maybe once a month with my period i'll get one. but recently, my skin has been changing, i've gotten 4 or 5 at once.. or i have weird bumps that arent seven pimples. or when i do get the pimples they last forever and i dont even touch them.. 

i know this can be due to stress. but can this be caused by any cosmetics that i use ? (makeup, face cleanser, moisturizer, etc)",Recently I broke out on my face from some heavy makeup  I think it was Revlon Color Stay. I broke out on my face so bad it reminded me of middle school. I used Neutrogena oil free scrub or wash. My dermatologist recommended it to me.,I used Neutrogena oil free scrub or wash. My dermatologist recommended it to me.,Skin Conditions,Health,Diseases & Conditions,,,,experience
"can you grow at age 24, if you are a man?",,"yes if the horomones are right
My uncle grew two inches at 32",yes if the horomones are right,Men's Health,Health,Men's Health,,,,information
The Doctor just prescribed Cymbalta for my chronic hip pain.?,"I am not depressed, never have been so why prescribe an anti-depressant?",Starla and Sophi are correct-antidepressants aid painkillers in relieving chronic pain. It is not that the doctor doesn't know what is causing the pain or is considering you a hypochondriac. There is a scientific basis for the combination but it is too lengthy and detailed to discuss here. Look it up.,There is a scientific basis for the combination but it is too lengthy and detailed to discuss here.,Pain & Pain Management,Health,General Health Care,,,,information
has anyone had a breast reduction? do you know what i can expect?,i'm a little worried...but i need to get it done...soo...?,"Nope, I haven't.  But depending on how big they are, I heard the reduction can save you a lot of back pain.","Nope, I haven't.",Women's Health,Health,Women's Health,,,,experience
Does anyone know anything  about Gastric Bypass operation?,,"the hospital i work at,  does this surgery a lot...what do u want to know about it...it is also called bariatric surgery....click on the link below and u will see more info there...","the hospital i work at,  does this surgery a lot...",Diet & Fitness,Health,Diet & Fitness,,,,experience
How do you keep from getting kidney stones?,"What foods, drinks help to prevent from getting kidney stones.
does all them products on the market help get rid of kidney stones.","Kidney stones are minerals that clumo into the little stones, they can be caused by taking in toomany mineral, like in vitamins. Drink plenty of water and acidic juices, the minerals are more soluble in a slightly acidic solution, the extrat acid from the juice is voided from the kidney also, so it works out nicely.","Drink plenty of water and acidic juices, the minerals are more soluble in a slightly acidic solution, the extrat acid from the juice is voided from the kidney also, so it works out nicely.",Other - Diseases,Health,Diseases & Conditions,,,,treatment
